s01_rank,feature,s01_gain,in_top10_survival
298,FS_ST129TS,0.0027994555839555386,False
299,FS_ST58TS,0.0027852173692341315,False
300,FS_ST49TA,0.0027751019292583242,False
301,FS_ST97TS,0.0027689359402570442,False
302,FS_ST106CV,0.0027538268199670474,False
303,FS_ST114TA,0.0027358120076680756,False
304,FS_ST106TS,0.002735034318490434,False
305,FS_ST107TA,0.0027254330990183246,False
306,FS_ST109SA,0.0026737404991925263,False
307,FS_ST54CV,0.002636843917812514,False
308,FS_ST52TS,0.0026348395113252113,False
309,FS_ST111CV,0.002618250248407432,False
310,FS_ST108TS,0.002608418982184873,False
311,FS_ST47TA,0.0025668523592209244,False
312,FS_ST98SA,0.0024779037787175263,False
313,sex,0.0023985511112310813,False
314,FS_ST62CV,0.002339147152574345,False
315,BSI_BRAINVOL,0.0023072828709840907,False
316,FS_ST115TS,0.002278706162394127,False
317,FS_ST91TA,0.002235135362209641,False
318,FS_ST118SA,0.002176846231538556,False
319,FS_ST109CV,0.002141007497997487,False
320,FS_ST44CV,0.0021380134327626606,False
321,FS_ST58SA,0.002133022651332449,False
322,FS_ST104SA,0.0020709155911626882,False
323,FS_ST45SA,0.0020400650100387825,False
324,FS_ST15CV,0.0020197625662357007,False
325,FS_ST106SA,0.0019394602573093989,False
326,FS_ST91SA,0.0019102849592508885,False
327,FS_ST106TA,0.001854484617857806,False
328,FS_ST97CV,0.0018531325443312148,False
329,FS_ST97SA,0.0017705986220736686,False
330,FS_ST31TS,0.0016271349486294924,False
331,FS_ST38TS,0.0015799226963439383,False
332,FS_ST95TA,0.0015783591616206523,False
333,FS_ST105CV,0.001566355042351062,False
334,FS_ST147SV,0.0014992536749663798,False
335,FS_ST119TA,0.001467751658136521,False
336,FS_ST44SA,0.0014543102380114195,False
337,FS_ST117SA,0.0014123662162463487,False
338,FS_ST45TS,0.0014090487655851432,False
339,FS_ST52CV,0.0013531208583242174,False
340,FS_ST32SA,0.0012627517525545854,False
341,FS_ST38CV,0.0012610445646157515,False
342,FS_ST149SV,0.0012269838912108916,False
343,FS_ST95SA,0.001224812836866567,False
344,FS_ST120SV,0.0012227962052123345,False
345,FS_ST118CV,0.0012003544944893538,False
346,FS_ST74TA,0.001184909210091067,False
347,FS_ST105TS,0.0011061857449575227,False
348,FS_ST154SV,0.0010859617547234795,False
349,FS_ST114SA,0.0010760039998145088,False
350,FS_ST82CV,0.0010657872574436303,False
351,FS_ST94TA,0.0010275319639874824,False
352,FS_ST115CV,0.0010141914565881267,False
353,FS_ST59TA,0.0009507646343151755,False
354,FS_ST97TA,0.0009144090469702518,False
355,FS_ST148SV,0.0008877800047053862,False
356,PTHAND,0.0007889563731399057,False
357,FS_ST11SV,0.00044986409295575823,False
358,FS_ST87sa,0.0002578400964954229,False
