Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
27029-0.0,0.03155555555555556,0.003617772787074134,True,1.3,3.2,,27029-0.0,,
25791-0.0,0.023555555555555555,0.0029650300495342972,True,0.0,0.0,,25791-0.0,,
25811-0.0,0.018666666666666668,0.002791560868127853,True,0.0,0.0,,25811-0.0,,
26611-0.0,0.04022222222222222,0.0026877459787139272,True,1.3,3.2,,26611-0.0,,
25854-0.0,0.03733333333333333,0.0026506663001719653,True,0.0,0.0,,25854-0.0,,
25870-0.0,0.03,0.002604487008799262,True,0.0,0.0,,25870-0.0,,
27056-0.0,0.02288888888888889,0.0025929604732377693,True,1.3,3.2,,27056-0.0,,
25317-0.0,0.013333333333333334,0.0024436355526121934,True,5.0,27.4,,25317-0.0,,
30620-0.0,0.03977777777777778,0.002441022148253206,False,6.6,8.1,,30620-0.0,,
26614-0.0,0.04133333333333333,0.0024324707894588958,True,1.3,3.2,,26614-0.0,,
27100-0.0,0.02111111111111111,0.002418304361927805,True,1.3,3.2,,27100-0.0,,
1011-0.0_c1,0.016888888888888887,0.0024145685862747438,False,0.0,0.0,,1011-0.0_c1,,
25012-0.0,0.007777777777777778,0.002220195296713563,True,0.0,0.0,,25012-0.0,,
26726-0.0,0.03222222222222222,0.002188753753691397,True,1.3,3.2,,26726-0.0,,
25003-0.0,0.012,0.002137059558752785,True,0.0,0.0,,25003-0.0,,
25463-0.0,0.023555555555555552,0.0020757535324802605,True,5.0,27.4,,25463-0.0,,
26546-0.0,0.016444444444444442,0.0019592980183205655,True,1.3,3.2,,26546-0.0,,
4079-0.0,0.021555555555555553,0.0019372992926460935,False,6.1,6.5,,4079-0.0,,
25729-0.0,0.021777777777777778,0.0018923471438680966,True,5.0,27.4,,25729-0.0,,
26538-0.0,0.010222222222222223,0.001837205184152612,True,1.3,3.2,,26538-0.0,,
27678-0.0,0.006666666666666666,0.0017688757269938601,True,1.3,3.2,,27678-0.0,,
